Model,Accuracy,Precision,Recall,F1-Score,Train(s)
MBGWO + Gradient Boosting,0.989875,0.9886685552407932,0.9954755581784204,0.9920603803175848,9.515425682067871
MBGWO + Random Forest,0.9915625,0.99186114924495,0.994885413592997,0.9933709796219004,2.00812029838562
